mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Marathon,13.135,381240DMar,Marathon (Attica) 128 Plasi - Μαραθών,38.1466,23.9701,deme
place,Eretria,13.135,384238PEre,Eretria (Euboea) 227 Eretria - Ερέτρια,38.3982,23.7905,polity
place,Styra,13.135,382242PSty,Styra (Euboea) 22 Styra - Στύρα,38.1455,24.2607,polity
place,Cerinthos,13.135,388235UKer,"Kerinthos (Euboea) 15 Kria Vrisi, Ag. Ilias - Κήρινθος",38.8343,23.4775,polity
place,Carystos,13.135,380244PKar,Karystos (Euboea) 146 Karystos - Κάρυστος,38.027,24.427,polity
place,Dion,13.135,388229PDio,Dion site (Euboea) 11 Likhas - Διώνη,38.8509,22.8731,polity
place,Geraistos,13.135,380245HGer,Geraistos (Euboea) 47 Porto Kastri - Γεραιστός,37.977,24.539,harbor
place,Styx,13.135,380222WSty,"Styx R. (Achaia) 151 Mavronero, above Solos - Στύξ",37.9836,22.2039,river
place,Marmarion,13.135,380243UMar,Marmarion (Euboea) 3 Marmari - Μαρμάριον,38.049,24.3209,polity
place,Aige,13.135,386236UAig,Aigai site (Euboea) 18 Politika Kafkala - Αιγαί,38.586,23.555,polity
place,Chalcis,13.135,385236PCha,Chalkis (Euboea) 435 Chalkida - Χάλκις,38.4597,23.6153,polity
ethnic,Athenians,13.171,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
demonym,Eleusinian,13.171,380235SEle,Eleusinian Demeter sanctuary (Attica) 156 Eleusis - Ελευσίς,38.0411,23.538,sanctuary/temple
place,Siphnos,13.171,370247PSip,Siphnos (Cyclades) 75 Kastro - Σίφνος,36.975,24.745,polity
place,Oinoe,13.171,382239DOin,Oinoe (Marathon) 14 Marathonas - Οινόη,38.156,23.9327,deme
place,Hymettos,13.171,379238LHym,Hymettos Mt. (Attica) 89 Imitos - Υμηττός,37.946,23.815,mountain
place,Marathon,13.171,381240DMar,Marathon (Attica) 128 Plasi - Μαραθών,38.1466,23.9701,deme
place,city,13.171,380235PEle,Eleusis (Attica) 227 Elefsina - Ελευσίς,38.0441,23.5415,polity
place,Brauron,13.171,379240SBra,Artemis Brauronia sanct. (Attica) 34 Brauron - Βραυρωνία η Άρτεμις,37.9262,23.9937,sanctuary/temple
place,Thoricos,13.171,377241DTho,Thorikos (Attica) 33 Thorikos - Θορικός,37.7392,24.0516,deme
place,Aphidna,13.171,381239DAph,Aphidna fortress (Attica) 63 s of Kapandriti - Άφιδνα,38.1871,23.8792,fortification
place,Acharnai,13.171,381237DAch,Acharnai (Attica) 85 Acharnes/Menidi - Αχαρναί,38.0803,23.7332,deme
place,Attica,13.171,379239RAtt,Attica region (Hellas) 1518 Attiki - Αττική,37.9,23.9,region/people
place,Phaleron,13.171,379237DPha,Phaleron (Attica) 163 Palio Faliro - Φάληρον,37.9373,23.7062,deme
ethnic,Indians,13.19,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
place,Olympos,13.19,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Asopos,13.201,383233WAso,Asopos R. (Boeotia) 77 Asopos - Ασωπός,38.3016,23.5921,river
place,Aigina,13.201,378234PAig,Aigina polis (Aegina) 464 Aigina - Αίγινα,37.75,23.425,polity
place,Asopos,13.201,383233WAso,Asopos R. (Boeotia) 77 Asopos - Ασωπός,38.3016,23.5921,river
ethnic,Colchians,13.222,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
demonym,Cydonian,13.222,355240PKyd,Kydonia (Crete) 79 Khania - Κυδωνία,35.5158,24.0187,polity
demonym,Indian,13.222,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
demonym,Cnossian,13.222,353252PKno,Knossos (Crete) 147 Knosos - Κνωσσός,35.2978,25.1631,polity
demonym,Cretan,13.222,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
place,Lyctos,13.222,352254PLyk,Lyktos/Lyttos (Crete) 57 Xidas - Λύττος,35.2081,25.3682,polity
place,Miletos,13.222,353256PMil,Milatos (Crete) 10 Paralia Milatou - Μίλατος,35.3144,25.5655,polity
place,Gortyn,13.222,351249UGor,Gortyna (Crete) 90 Gortyna/Ag. Deka - Γόρτυν,35.0594,24.95,polity
place,Rhytion,13.222,350252URhy,Rhytion/Rhytiassos (Crete) 7 Rotasi - Ρύτιον,35.002,25.171,polity
place,Lycastos,13.222,352251ULyk,Lykastos (Crete) 9 Rokka - Λύκαστος,35.2024,25.1016,polity
place,Cisamos,13.222,355237UKis,Kisamos (Crete) 7 Kisamos - Κίσαμος,35.4929,23.6558,polity
place,Dicte,13.222,353263LDik,Dikte Mt. (Crete) 30 Mt. Modi - Δίκτη,35.118,25.418,mountain
place,Scythia,13.222,475310RSky,Scythia (Pontus) 1137 N. Coast of Black Sea - Σκυθική,47.5,31.01,region/people
place,Amnisos,13.222,353253WAmn,Amnisos R. (Crete) 11 Karteros - Αμνισός,35.327,25.196,river
place,Phasis,13.222,422417WPha,Phasis R. (Georgia) 183 Rioni - Φάσις,42.171,41.733,river
person,Phaistian,13.222,351248PPha,Phaistos (Crete) 34 Phaistos/Ag. Ioannis - Φαιστός,35.0512,24.8138,polity
demonym,Indian,13.253,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
place,Olympos,13.253,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Cyllene,13.253,379224LKyl,Kyllene Mt. (Korinthia) 114 Kyllini - Κυλλήνη,37.9397,22.3969,mountain
place,Meropis,13.253,369273PKos,Kos (Dodecanese) 282 Kos - Κώς,36.8914,27.2859,polity
place,Parrhasia,13.253,375222RPar,Parrhasia region (Arkadia) 69  - Παρρασία,37.45,22.15,region/people
ethnic,Arcadians,13.286,375223RArk,Arkadia region (Arkadia) 1437 Arkadia - Αρκαδία,37.5,22.3,region/people
