mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
ethnic,Syracusans,7.78,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.78,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Anapus,7.78,371153WAna,Anapos R. (Sicily) 11 Anapo - Άναπος,37.0565,15.255,river
ethnic,Athenians,7.79,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.79,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.8,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.80,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.80,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Sicels,7.80,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
place,Catana,7.80,375151PCat,Katane/Catina (Sicily) 164 Catania - Κατάνη,37.503,15.0881,polity
place,Camarina,7.80,369144PCam,Camarina (Sicily) 81 Camarina - Καμάρινα,36.8721,14.4474,polity
place,Gela,7.80,371143PGel,Gela (Sicily) 132 Gela - Γέλα,37.063,14.2587,polity
ethnic,Syracusans,7.81,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.81,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Athenians,7.82,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.82,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Syracusans,7.83,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.83,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Syracusans,7.84,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.84,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
