mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Serbonian,2.1196,312332WSer,Serbonitis lake (Egypt) 18 Sabkhat el Bardawil - Σιρβωνίς λίμνη,31.105,33.432,lake
ethnic,Colchians,2.1216,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
demonym,Cretan,2.1231,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
demonym,Pelasgian,2.1231,398223UPel,Pelasgiotis region (Thessaly) 268 Thessalia - Πελασγία,39.5,22.5,region/people
place,Olympus,2.1231,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
person,Ida,2.1231,352248LIda,Ida Mt. (Crete) 133 Pseiloritis - Ίδα,35.2263,24.7708,mountain
demonym,Caucasian,2.1242,433424LCau,Caucasus Mt. (Pontus) 244 Kafkaz - Καύκασος,43.351,42.45,mountain
place,Phasis,2.1242,422417WPha,Phasis R. (Georgia) 183 Rioni - Φάσις,42.171,41.733,river
demonym,Colchian,2.1262,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
place,Caucasus,2.1262,433424LCau,Caucasus Mt. (Pontus) 244 Kafkaz - Καύκασος,43.351,42.45,mountain
place,Phasis,2.1262,422417WPha,Phasis R. (Georgia) 183 Rioni - Φάσις,42.171,41.733,river
demonym,Therapnaean,2.154,371225UThe,Therapne (Lakonia) 55 SE Sparta - Θεράπναι,37.0736,22.534,polity
demonym,Bithynian,2.164,405295RBit,Bithynia region (Asia Minor) 589 Yalova - Βιθυνία,40.5,29.5,region/people
place,Bosporus,2.164,411291WBos,Bosphorus (Thrace) 175 Bogazici - Βόσπορος,41.1194,29.0753,sea/strait
ethnic,Thracians,2.178,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
demonym,Lemnian,2.25,399253ILem,Lemnos (Aegean) 341 Lemnos - Λήμνος,39.93,25.21,island
place,Styx,2.291,380222WSty,"Styx R. (Achaia) 151 Mavronero, above Solos - Στύξ",37.9836,22.2039,river
place,Crete,2.291,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
place,Olympus,2.291,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Cyanean rocks,2.316,412291IKya,Kyaneai-Symplegades (Pontus) 71 Rumelifeneri - Κυάνεαι,41.234,29.11517,island
ethnic,Bithynians,2.341,405295RBit,Bithynia region (Asia Minor) 589 Yalova - Βιθυνία,40.5,29.5,region/people
ethnic,Mariandyni,2.341,409312RMar,Mariandynoi (Pontus) 53 Dyzce - Μαριανδυνοί,40.86,31.2,region/people
ethnic,Paphlagonians,2.341,410300RPap,Paphlagonia region (Pontus) 293 Kocaeli/Sakarya - Παφλαγονία,41.0,30.0,region/people
place,Pontus,2.341,435335WPon,Pontos (Pontus) 1512 Black Sea - Πόντος,43.5,33.5,sea/strait
place,Rhebas,2.341,412292WRhe,Rhebas R. (Pontus) 18 Riva Deresi - Ρήβας,41.2147,29.2205,river
place,Thynias,2.341,412303IThy,Apollonia/Thynias I. (Pontus) 19 Kefken adasi - Θυνιάς,41.2157,30.2593,island
place,Acherusia,2.341,393208WAch,Acherusia (Preveza) 34 Kastri dry lake - Αχερουσία λίμνη,39.253,20.553,lake
place,Acheron,2.341,392205WAch,Acheron R. (Preveza) 163 Akheron - Αχέρων,39.2348,20.4831,river
ethnic,Tibareni,2.360,410380RTib,Tibarenoi tribe (Pontus) 30 Ordu - Τιβαρηνοί,40.96,38.0,region/people
ethnic,Mossynoeci,2.360,408387RMos,Mossynoikoi tribe (Pontus) 39 Giresun - Μοσσύνοικοι,40.8,38.7,region/people
ethnic,Colchians,2.360,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
demonym,Themiscyreian,2.360,412370UThe,Themiscyra (Pontus) 46 Terme - Θεμίσκυρα,41.215,36.967,polity
place,Carambis,2.360,420334UKar,Karambis (Pontus) 38 Ilyasbey? - Κάραμβις,42.013,33.369,polity
place,Halys,2.360,416359WHal,Halys R. (Pontus) 95 Kizilirmak - Άλυς,41.569,35.883,river
place,Thermodon,2.360,412369WThe,Thermodon R. (Pontus) 89 Terme R. - Θερμώδων,41.194,36.942,river
place,Phasis,2.360,422417WPha,Phasis R. (Georgia) 183 Rioni - Φάσις,42.171,41.733,river
demonym,Colchian,2.408,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
place,Pontus,2.408,435335WPon,Pontos (Pontus) 1512 Black Sea - Πόντος,43.5,33.5,sea/strait
demonym,Cyprian,2.419,350330RCyp,Cyprus (Kypros) 999 Cyprus - Κύπρος,35.0,33.0,region/people
demonym,Dictaean,2.426,352254CAig,Dictaean cave (Crete) 10 Psykhro - Δικταίον άντρον,35.1627,25.4452,cave
demonym,Thynian,2.448,412303IThy,Apollonia/Thynias I. (Pontus) 19 Kefken adasi - Θυνιάς,41.2157,30.2593,island
ethnic,Haemonians,2.500,394223RThs,Thessaly region (Hellas) 1628 Thessalia - Θεσσαλία,39.4,22.3,region/people
demonym,Parrhasian,2.500,375222RPar,Parrhasia region (Arkadia) 69  - Παρρασία,37.45,22.15,region/people
place,Cyrene,2.500,328219PCyr,Cyrene (Libya) 505 Shahhat - Κυρήνη,32.819,21.856,polity
place,Peneus,2.500,399227WPen,Peneios R. (Thessaly) 185 Peneios - Πηνειός,39.9298,22.7094,river
place,Libya,2.500,300070RLib,Libya (Africa) 1525 North Africa - Λιβύη,32.01,10.01,region/people
place,Phthia,2.500,393223RPht,Achaea Phthiotis region (Phthiotis) 199 Phthiotida - Φθιώτας Αχαιούς,39.2,22.5,region/people
place,Othrys,2.500,390227LOth,Othrys Mt. (Phthiotis) 74 Othrys - Όθρυς,39.0169,22.7097,mountain
place,Apidanus,2.500,393223WApi,Apidanos R. (Thessaly) 42 Pharsalitis - Απιδανός ,39.43,22.104,river
place,Ceos,2.500,376243IKeo,Keos (Kea) 152 Tzia - Κέως,37.6167,24.3333,island
place,Icmaeus,2.500,376244SZeu,Zeus Ikmaios? (Kea) 1 Profitis Elias - Ζεύς Ικμαίος,37.621,24.3591,sanctuary/temple
place,Thynia,2.537,412303IThy,Apollonia/Thynias I. (Pontus) 19 Kefken adasi - Θυνιάς,41.2157,30.2593,island
place,Pontus,2.568,435335WPon,Pontos (Pontus) 1512 Black Sea - Πόντος,43.5,33.5,sea/strait
place,Olympus,2.593,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
demonym,Bithynian,2.619,405295RBit,Bithynia region (Asia Minor) 589 Yalova - Βιθυνία,40.5,29.5,region/people
place,Rhebas,2.648,412292WRhe,Rhebas R. (Pontus) 18 Riva Deresi - Ρήβας,41.2147,29.2205,river
place,Melaina,2.648,412296LMel,Melaina promontory (Bithynia) 5 Sile?,41.177,29.6133,cape
place,Orchomenus,2.648,377223POrc,Orchomenos (Arkadia) 150 Orchomenos - Ορχομενός,37.7247,22.3154,polity
