mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Italy,1.36.6,406163RIta,Italia region (Italy),40.6,16.3,region/people
ethnic,Romans,1.36.6,419125PRom,Rome (Italy),41.891,12.486,polity
ethnic,Macedonians,1.36.6,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Italy,1.36.6,406163RIta,Italia region (Italy),40.6,16.3,region/people
place,Macedon,1.36.6,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,great temple,1.37.1,380237SAth,Parthenon Athena temple (Athens),37.97156,23.72663,sanctuary/temple
ethnic,Persians,1.37.1,295540RPer,Persia (Asia),29.5,54,region/people
place,Lakiadai,1.37.2,380237DLak,Lakiadai (Attica),37.9934,23.6996,deme
person,Tarentum,1.37.2,405172PTar,Taras or Tarentum (Italy),40.476,17.228,polity
place,Cephisus,1.37.3,388228WKep,Kephisos R. (Boeotia),38.496,22.91,river
place,Cephisus,1.37.3,388228WKep,Kephisos R. (Boeotia),38.496,22.91,river
place,Troy,1.37.3,400262UIli,Troy/Ilion (Troad),39.9575,26.2389,polity
place,Spercheus,1.37.3,389225WSpe,Spercheios R. (Phthiotis),38.856,22.467,river
place,Cephisus,1.37.4,388228WKep,Kephisos R. (Boeotia),38.496,22.91,river
person,Phaselis,1.37.4,365306PPha,Phaselis (Lycia),36.524,30.552,polity
place,Eleusis,1.37.4,380235SEle,Eleusinian Demeter sanctuary (Attica),38.0411,23.538,sanctuary/temple
person,Rhodian,1.37.5,364282IRho,Rhodes (Dodecanese),36.4408,28.2244,polity
place,Athens,1.37.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
person,Macedonian,1.37.5,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Asia,1.37.5,437873RAsi,Asia,43.6811,87.3311,
place,Athens,1.37.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Athens,1.37.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Corinth,1.37.5,379229PKor,Corinth/Korinthos (Korinthia),37.9054,22.8802,polity
